10	65	3033
3407	84	1566
261	44	518
3279	49	940
2836	41	301
1112	105	1098
1588	110	1121
3279	40	3296
3165	135	1177
1576	5	458
1547	118	2346
2277	110	1915
1089	41	405
721	110	2947
2326	110	3053
701	110	2631
3407	95	19
1022	150	1279
2033	110	769
1969	41	2679
2463	110	1564
301	62	116
249	106	2723
2679	96	520
2126	41	1485
70	105	3212
769	110	2947
458	41	1704
2058	34	932
1510	110	1170
2076	152	655
1137	108	569
3260	105	3153
1875	105	1249
520	62	3283
1748	41	1463
526	152	2807
2246	0	577
93	105	3267
2066	49	569
1755	110	596
1678	105	1580
1629	110	2343
458	133	812
698	29	1734
3279	95	2333
590	106	2957
1906	68	1541
2708	70	2674
1728	84	402
1683	41	860
3118	5	520
3122	110	2448
755	5	595
191	155	39
408	29	3009
3378	82	2862
121	105	1487
924	108	3279
2272	110	1125
2150	155	2947
1423	107	532
2666	52	1760
1193	110	2698
3199	44	2373
3250	79	1554
2983	41	2856
1593	110	261
3250	43	198
1865	5	3301
0	84	520
409	41	2109
1305	49	487
2912	71	860
761	95	3302
1455	110	990
2495	143	1564
2679	29	520
480	155	238
2228	150	2133
2385	41	2843
3378	82	524
161	95	1576
2330	41	1099
580	152	639
860	77	3327
2925	5	595
2679	150	520
260	95	860
2679	141	3362
749	152	3091
2807	62	2224
2798	62	3283
2465	118	458
170	155	605
300	41	2404
897	110	1147
2058	106	1170
2277	41	2830
424	29	2164
3124	41	2234
597	118	85
555	136	1564
2495	105	3275
2150	152	2947
1892	41	2842
2056	44	1872
2343	84	458
2679	106	520
1654	110	203
2679	22	1170
2591	14	130
2862	44	1302
3035	16	2596
1100	110	3302
487	37	3283
2965	110	301
1329	109	1170
2946	105	1881
2448	106	550
340	143	840
3267	84	2947
1487	95	3061
2383	77	512
2263	110	695
821	44	1487
520	109	2385
2679	29	447
2336	105	3279
1470	108	267
1220	138	819
409	110	860
3092	95	2909
2679	102	520
1942	84	3279
409	44	3279
2465	95	2238
1361	118	1640
2947	68	2896
1978	110	2465
860	41	920
301	110	3263
1054	41	2465
1068	5	1888
1170	84	763
1487	95	3275
2441	84	860
4	41	58
520	62	3283
924	105	458
2652	110	236
1747	144	540
1436	105	1557
2221	150	2553
409	118	984
701	106	2385
3276	84	3033
1943	105	340
2679	151	2797
2278	41	2120
670	96	301
2113	144	3275
2377	16	520
790	110	2151
1667	95	3194
2909	84	503
1580	118	3279
493	62	3283
1564	67	630
1379	105	1102
479	130	260
458	95	1099
1639	29	868
458	44	1487
1822	106	1472
1258	95	1588
39	110	173
2155	150	473
1102	95	3061
81	106	499
334	143	627
1304	105	2630
1170	106	994
1732	110	689
2166	150	512
2682	29	509
3042	110	2548
3250	150	3153
2820	5	2470
1577	110	1151
2851	44	2385
173	33	2155
3017	110	3292
3260	44	1217
3368	77	1731
1645	106	1061
550	106	2353
3275	118	3279
2608	29	559
1382	41	3197
2167	155	2137
2536	106	590
1170	110	1866
1099	105	2439
2187	150	198
388	41	1245
1121	29	580
670	44	301
2679	110	1487
3279	95	1920
3058	41	2457
860	110	3275
2689	29	2087
670	106	520
2929	41	1357
2453	41	3327
530	49	2832
2012	110	754
1000	62	3283
984	41	3161
520	109	1487
3250	150	2248
3033	84	3045
1846	105	1508
1342	41	2785
520	138	2679
1906	118	228
549	62	773
2336	105	3275
860	82	2947
711	102	2654
2564	41	701
296	135	3199
763	29	520
301	106	142
355	110	160
3061	82	531
2781	106	520
1487	110	3234
479	152	260
1111	106	2020
2134	155	2220
2679	5	520
2883	118	17
1142	110	851
1717	41	391
2680	29	521
411	84	3279
2092	44	1456
1487	73	3037
3260	41	3033
3263	82	648
1438	95	3378
3093	84	1683
2904	65	2339
3089	68	668
1170	144	2679
1300	108	2406
458	95	2460
1961	41	1868
909	71	3390
3243	110	944
1173	44	1555
3392	106	2460
962	32	520
1882	106	903
1329	110	1497
1300	110	1802
1222	44	1551
3243	105	3150
900	5	520
520	77	2058
3224	71	2385
860	52	300
2354	106	585
3132	150	3130
2976	150	2975
1067	41	984
636	152	2448
2840	110	3210
2444	106	592
722	0	559
81	105	978
2953	44	3153
405	77	2387
3102	110	3153
1995	41	787
2854	41	701
984	41	458
1644	82	810
91	118	2849
567	84	2947
2447	41	2448
524	5	1173
3135	41	2041
520	62	3283
2400	41	3061
33	41	3148
2230	155	3267
2679	150	3118
2897	110	3036
3279	110	3186
3275	95	3199
3042	41	2125
2343	106	2465
