685	23	602
673	43	168
1219	80	1282
681	132	1096
1503	42	1570
188	122	1446
1382	157	1379
352	157	1425
1535	54	1503
737	42	1275
1501	0	1505
669	0	670
448	36	536
1245	126	993
679	42	682
269	42	513
613	42	546
1009	0	546
536	10	1492
828	42	682
1503	144	1131
1131	110	1130
1445	92	1503
1503	42	546
23	40	446
878	144	114
531	48	1503
1503	0	106
1245	2	1483
1554	157	1194
1503	3	315
48	43	611
1554	148	583
1503	4	900
573	157	1503
1044	0	699
1271	43	785
1097	26	1348
1245	70	343
21	66	1092
959	10	927
345	58	1017
755	107	311
1231	26	1417
1523	121	324
712	69	688
137	0	1219
1503	54	224
827	71	1354
1057	42	1501
1034	10	716
1120	36	1158
1316	135	1503
544	157	1503
1482	92	309
1131	5	1265
106	148	409
1503	43	1306
1503	100	1165
748	48	1503
977	100	18
388	98	345
106	71	1503
546	36	1154
314	10	1158
320	40	534
1158	42	681
1158	48	1343
564	55	48
15	61	37
1109	75	1399
1158	14	1503
1501	42	213
1166	144	954
1520	43	736
387	0	1378
1503	0	1570
1271	144	1013
1503	36	1131
681	2	740
887	0	224
1503	40	546
667	0	340
536	157	366
450	46	1586
1585	36	974
1158	131	1096
1446	43	1163
451	54	311
1503	48	1378
685	42	71
1163	43	224
1246	43	1520
1271	10	1168
481	40	1503
910	40	522
719	0	393
17	0	1503
250	46	309
1196	72	309
1276	0	1097
1547	42	213
736	43	268
1131	144	1562
543	92	311
1158	40	331
961	40	1501
508	10	1482
1131	40	1069
1163	55	1361
1503	100	139
106	93	1503
1197	40	1496
962	7	273
332	157	1503
1503	23	1477
1219	60	137
1329	55	311
1296	40	856
1503	42	158
716	47	15
1503	0	669
908	144	781
311	160	202
211	93	1503
10	122	1158
1503	42	1378
1562	40	1158
670	40	535
1503	3	1183
434	71	1501
126	55	922
268	83	145
71	36	1165
49	10	387
613	0	1042
552	40	1034
211	42	513
1444	42	211
314	98	1158
1503	46	1378
640	4	1120
748	10	703
137	61	1429
1503	83	1057
451	47	552
681	65	1381
1011	10	441
1421	40	1523
1092	43	21
1009	71	546
1092	0	269
1245	40	1531
1503	0	793
681	42	409
250	61	1275
1505	48	1503
394	80	1562
1149	37	1275
264	150	1131
1131	144	1079
1502	36	47
1184	93	1163
10	117	1465
114	42	346
1503	157	1238
1354	27	239
1331	10	553
1015	0	211
1275	0	706
494	144	1503
1102	40	1165
1343	36	876
452	46	1069
1503	60	137
188	46	1435
574	160	20
1419	10	314
681	93	1096
503	36	30
311	107	755
716	3	1009
1184	157	1131
1210	163	1275
1329	144	653
1562	93	314
1501	149	966
1503	49	1298
1503	61	268
1096	47	681
1500	42	810
1445	0	1245
1131	80	609
1023	10	546
118	144	1476
314	0	269
503	10	1356
720	40	345
845	144	345
1501	92	546
1002	42	785
314	26	15
693	48	810
632	0	48
1503	49	393
1562	36	452
1408	93	1093
268	108	311
268	4	269
1503	40	224
354	0	1163
1503	93	1296
389	157	669
964	43	727
536	40	273
899	93	900
503	80	1378
0	98	309
423	2	669
80	48	1398
591	40	1398
546	10	1505
681	48	211
719	91	250
1378	140	546
1016	113	1158
32	43	1048
451	144	1165
1444	48	211
1483	157	287
401	0	1258
1444	132	900
885	2	1503
71	80	1245
1221	42	67
776	43	606
1562	40	15
681	48	1096
1296	92	546
965	42	197
681	42	1505
513	36	1501
1503	36	500
714	65	706
1034	2	1158
1281	0	876
825	71	1163
1461	3	145
1398	71	547
68	144	1503
1503	42	1158
514	80	1188
965	157	489
1294	0	1095
168	43	266
1231	36	4
537	48	311
785	0	1334
1163	36	202
1008	26	1254
637	36	309
927	0	887
666	83	682
437	22	967
1112	40	311
681	4	1047
224	130	669
1503	40	1275
679	147	21
106	144	1219
520	43	508
310	92	1503
498	157	1503
1483	42	555
732	10	314
290	48	679
1093	144	1431
114	0	613
1246	157	1245
182	61	1275
225	43	269
1158	144	1437
1158	47	362
1286	66	211
1503	95	1245
1139	157	609
894	46	1158
1444	144	115
1503	48	867
771	42	1092
1158	79	1503
15	17	1169
667	100	688
678	71	35
1275	79	1164
669	10	546
335	92	725
1503	48	681
